"sample.name" "meanod" "stdev" "cv" "netod" "bound" "pg.per.tube" "ng.per.gram.pool" "file.name" "hormone"
"1" "C01" 0.6484 0.0140007142674937 2.15927117018718 0.6301 77.2725879142778 137.401892969587 68.7009464847934 "PdG Woolly 20181101 - Plate 1 (PoolsPlate)" "PdG"
"2" "C02" 0.16465 0.00813172798364529 4.93879622450367 0.14635 17.9476959867554 2781.59188415004 1390.79594207502 "PdG Woolly 20181101 - Plate 1 (PoolsPlate)" "PdG"
"3" "C01" 0.67705 0.00247487373415288 0.365537808751625 0.657525 74.5493197278912 147.695886615677 73.8479433078384 "PdG Woolly 20181103 - Plate 1 (Cali)" "PdG"
"4" "C02" 0.16755 0.00120208152801714 0.717446450621985 0.148025 16.7828798185941 3032.20605050189 1516.10302525094 "PdG Woolly 20181103 - Plate 1 (Cali)" "PdG"
"5" "C01" 0.62565 0.00898025612106918 1.43534821722516 0.60155 69.8684630796481 215.31049428032 107.65524714016 "PdG Woolly 20181103 - Plate 2 (Cali and Chai)" "PdG"
"6" "C02" 0.18715 0.00459619407771252 2.45588783206654 0.16305 18.9378321089462 2330.97944473346 1165.48972236673 "PdG Woolly 20181103 - Plate 2 (Cali and Chai)" "PdG"
"7" "C01" 0.6837 0.00848528137423866 1.24108254705845 0.6649 72.5062021209891 183.936646495501 91.9683232477503 "PdG Woolly 20181104 - Plate 1 (Chai and Papaya)" "PdG"
"8" "C02" 0.18395 0.00289913780286486 1.57604664466695 0.16515 18.0093236280363 2791.69930945824 1395.84965472912 "PdG Woolly 20181104 - Plate 1 (Chai and Papaya)" "PdG"
"9" "C01" 0.56 0.00862670273047587 1.54048263044212 0.540825 64.4933369108309 297.223080966296 148.611540483148 "PdG Woolly 20181104 - Plate 2 (Papaya and Poquer)" "PdG"
"10" "C02" 0.16375 0.00275771644662755 1.68410164679545 0.144575 17.2405568971171 3033.75093044007 1516.87546522004 "PdG Woolly 20181104 - Plate 2 (Papaya and Poquer)" "PdG"
"11" "C01" 0.61375 0.00275771644662747 0.449322435295718 0.595475 72.4003769111523 198.308729701943 99.1543648509717 "PdG Woolly 20181104 - Plate 3 (Poquer)" "PdG"
"12" "C02" 0.16475 0.00190918830920366 1.15883964139828 0.146475 17.8090519468677 2748.30744272403 1374.15372136202 "PdG Woolly 20181104 - Plate 3 (Poquer)" "PdG"
"13" "C01" 0.67715 0.00332340187157672 0.490792567610828 0.660175 73.8554048384841 209.715669640629 104.857834820314 "PdG Woolly 20181105 - Plate 1 (Poquer and Pepa)" "PdG"
"14" "C02" 0.13495 0.00304055915910215 2.25310052545547 0.117975 13.1981541043211 4154.37963808092 2077.18981904046 "PdG Woolly 20181105 - Plate 1 (Poquer and Pepa)" "PdG"
"15" "C01" 0.5488 0.00438406204335658 0.798845124518328 0.53135 59.6536529231806 387.260768266782 193.630384133391 "PdG Woolly 20181105 - Plate 2 (Pepa and Policarpa)" "PdG"
"16" "C02" 0.1421 0.00169705627484772 1.19426901818981 0.12465 13.994218193045 4135.47021925487 2067.73510962743 "PdG Woolly 20181105 - Plate 2 (Pepa and Policarpa)" "PdG"
"17" "C01" 0.7637 0.0135764501987817 1.77772033505064 0.740375 79.518298740703 132.637181181672 66.3185905908361 "PdG Woolly 20181108 - Plate 1 (Policarpa, Papaya and Cuenca)" "PdG"
"18" "C02" 0.18705 0.00431335136523794 2.30598843370112 0.163725 17.5845125258438 2695.39077467351 1347.69538733675 "PdG Woolly 20181108 - Plate 1 (Policarpa, Papaya and Cuenca)" "PdG"
"19" "C01" 0.6658 0.000424264068711882 0.0637224494911207 0.639575 68.0579941473796 259.306998772528 129.653499386264 "PdG Woolly 20181108 - Plate 2 (Cuenca and Der)" "PdG"
"20" "C02" 0.154 0.000848528137423881 0.550992297028494 0.127775 13.5967012503325 3530.84581979974 1765.42290989987 "PdG Woolly 20181108 - Plate 2 (Cuenca and Der)" "PdG"
"21" "C01" 0.65345 0.0521137697734485 7.97517327621831 0.630275 65.5597451566766 326.742693911525 163.371346955762 "PdG Woolly 20181113 - Plate 1 (Der and Gwen)" "PdG"
"22" "C02" 0.138 0.00353553390593272 2.56198109125559 0.114825 11.9438304511767 4590.17501738588 2295.08750869294 "PdG Woolly 20181113 - Plate 1 (Der and Gwen)" "PdG"
"23" "C01" 0.7274 0.0175362481734264 2.41081223170558 0.701025 76.3207316077407 173.603803713745 86.8019018568725 "PdG Woolly 20181113 - Plate 2 (Gwen)" "PdG"
"24" "C02" 0.18215 0.000353553390593274 0.194100132085245 0.155775 16.9592553278354 2905.29561803982 1452.64780901991 "PdG Woolly 20181113 - Plate 2 (Gwen)" "PdG"
"25" "C01" 0.63665 0.0190211724139182 2.98769691571793 0.6089 65.0968862755579 313.351987740319 156.67599387016 "PdG Woolly 20181113 - Plate 3 (Gwen and others)" "PdG"
"26" "C02" 0.19125 0.00134350288425447 0.702485168237631 0.1635 17.4796204730723 3225.52266016099 1612.7613300805 "PdG Woolly 20181113 - Plate 3 (Gwen and others)" "PdG"
