Number	WNPRC Number	TBS sample number	Date Sample is Collected	Time of Collection	Individual	Dry weight poop only	Dry weight without seeds	Assay date	Volume of sample used (uL)		
1	WNPRC-2018-001	LA001	23/08/2017	9:20	Diego	0.10	0.10	11/1/18	15		
2	WNPRC-2018-006	LA006	24/08/2017	7:40	Cuenca	0.12	0.12	11/1/18	15		
3	WNPRC-2018-050	SP030	10/09/2017	7:40	Cuenca	0.16	0.15	11/1/18	15		
4	WNPRC-2018-107	SP098	26/09/2017	13:34	Pete	0.18	0.10	11/1/18	15		
5	WNPRC-2018-141	SP145	12/10/2017	8:15	Clash	0.10	0.09	11/1/18	15		
6	WNPRC-2018-149	SP136	14/10/2017	8:05	Percy	0.11	0.07	11/1/18	15		
7	WNPRC-2018-318	LA103	30/12/2017	9:45	Dexter	0.13	0.10	11/1/18	15		
8	WNPRC-2018-320	LA135	01/01/2018	8:08	Clash	0.11	0.08	11/1/18	15		
9	WNPRC-2018-337	LA110	07/01/2018	12:09	Dexter	0.16	0.15	11/1/18	15		
10	WNPRC-2018-339	LA124	07/01/2018	7:17	Paddy	0.12	0.10	11/1/18	15		
11	WNPRC-2018-342	LA112	08/01/2018	12:52	Diego	0.08	0.08	11/1/18	15		
12	WNPRC-2018-348	LA133	10/01/2018	8:03	Chromeo	0.06	0.05	11/1/18	15		
13	WNPRC-2018-403	LA164	05/02/2018	6:38	Clash	0.16	0.10	11/1/18	15		
14	WNPRC-2018-409	LA170	05/02/2018	15:39	Chromeo	0.11	0.09	11/1/18	15		
15	WNPRC-2018-410	LA173	05/02/2018	12:58	Pete	0.08	0.08	11/1/18	15		
16	WNPRC-2018-418	KNM026	09/02/2018	11:28	Paddy	0.12	0.11	11/1/18	15		
17	WNPRC-2018-450	KNM064	19/02/2018	10:39	Percy	0.03	0.02	11/1/18	15		
18	WNPRC-2018-028	LA021	03/09/2017	8:50	Policarpa	0.09	0.08	11/1/18	15		
19	WNPRC-2018-038	SP016	05/09/2017	7:49	Policarpa	0.21	0.13	11/1/18	15		
20	WNPRC-2018-042	SP028	08/09/2017	11:15	Policarpa	0.24	0.10	11/1/18	15		
21	WNPRC-2018-378	KNM011	26/01/2018	11:08	Cali	0.11	0.09	11/1/18	15		
22	WNPRC-2018-394	LA157	03/02/2018	12:00	Cali	0.13	0.08	11/1/18	15		
23	WNPRC-2018-411	LA171	08/02/2018	15:02	Chai	0.13	0.11	11/1/18	15		
24	WNPRC-2018-414	KNM030	08/02/2018	14:12	Cali	0.08	0.08	11/1/18	15		
25	WNPRC-2018-416	LA174	09/02/2018	10:35	Chai	0.10	0.15	11/1/18	15		
26	WNPRC-2018-419	KNM028	09/02/2018	8:48	Papaya	0.10	0.04	11/1/18	15		
27	WNPRC-2018-425	KNM036	10/02/2018	9:17	Papaya	0.12	0.08	11/1/18	15		
28	WNPRC-2018-430	KNM044	13/02/2018	14:10	Cali	0.09	0.09	11/1/18	15		
29	WNPRC-2018-431	KNM045	13/02/2018	11:52	Chai	0.10	0.10	11/1/18	15		
30	WNPRC-2018-438	KNM056	15/02/2018	10:03	Papaya	0.11	0.09	11/1/18	15		
31	WNPRC-2018-439	KNM057	15/02/2018	10:43	Chai	0.12	0.11	11/1/18	15		
32	WNPRC-2018-446	KNM065	18/02/2018	13:30	Papaya	0.09	0.08	11/1/18	15		
33	WNPRC-2018-447	KNM050	19/02/2018	6:58	Chai	0.15	0.13	11/1/18	15		
34	WNPRC-2018-449	KNM061	19/02/2018	8:34	Cali	0.14	0.08	11/1/18	15		
1	WNPRC-2018-004	LA004	24/08/2017	10:43	Cali	0.11	0.10	11/15/18	10		
2	WNPRC-2018-007	LA007	25/08/2017	7:52	Cali	0.13	0.13	11/15/18	10		
3	WNPRC-2018-015	SP011	29/08/2017	15:05	Cali	0.07	0.07	11/15/18	10		
4	WNPRC-2018-019	LA012	31/08/2017	12:20	Cali	0.10	0.09	11/15/18	10		
5	WNPRC-2018-026	SP009	03/09/2017	16:03	Cali	0.13	0.13	11/15/18	10		
